Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V28,Amount,FraudNominated,Normal
17838,-5.187878108,6.967708664,-13.51093114,8.617895141,-11.21442239,0.672247839,-9.462532811,5.328704208,-4.897005528,-11.78681166,9.369079058,-15.09416315,1.256377007,-11.8521613,0.274429814,-10.68824179,-18.38881054,-6.898840133,2.382807936,-0.623737292,2.086083001,0.760190241,0.716805786,-0.64674343,-1.617042926,0.17234689,0.626646781,-0.169726031,-0.169726031,766.36,0,0
18675,-12.33960316,4.488267302,-16.58707294,10.10727387,-10.42019898,0.130669812,-15.6003233,-1.157695981,-5.304630968,-12.93892931,8.805681967,-13.55613013,1.16546376,-9.809881502,0.369987279,-9.505210445,-17.54203031,-6.792637787,2.069377449,-0.085501463,-2.089609633,1.7453145,1.376815809,-0.554271418,-1.610740852,0.153725445,1.212477208,-1.869290476,-1.869290476,188.78,1,0
100924,-23.98474665,16.69783169,-22.20987482,9.58496862,-16.23043879,2.596332658,-33.23932817,-21.56003945,-10.84252587,-19.83614885,3.223232703,-10.89513351,-1.523452403,0.116303256,-3.098805327,-7.606424575,-18.10826102,-7.511866158,-1.243285157,5.804550661,-12.61502286,5.774087269,2.75022145,0.5134111,-1.608803804,-0.459624388,-4.626126608,-0.334560721,-0.334560721,1,1,0
93897,-10.30081976,6.483094588,-15.07636272,6.554191153,-8.880251722,-4.47167242,-14.9006886,3.840170238,-4.358441422,-14.53316169,7.58874088,-15.83571881,0.135035383,-11.56700592,-0.077026912,-11.46742974,-19.17299636,-6.969856384,2.211755833,0.113244363,1.508748425,1.041642099,-0.682789603,0.573543946,-1.602388974,-0.393520821,-0.468892516,0.10592016,0.10592016,1,1,0
142409,-1.172182919,1.66171287,-3.049637019,2.555058434,3.669034614,-3.162998372,-5.985640116,-2.179935239,-1.120292277,-3.07555831,0.997448763,-3.191914768,-1.514856776,-4.267296067,-0.159553975,-2.916462628,-2.819906111,-1.417230801,0.325194943,0.548106363,-0.812097797,-0.295360726,-5.988806443,0.714380801,-1.600023592,-0.634782934,0.822713228,0.494375178,0.494375178,2,1,0
90676,-2.40558049,3.738234965,-2.317843041,1.367442441,0.394001128,1.919937985,-3.106942048,-10.76440253,3.35352486,0.369936028,0.382172177,-2.262932535,1.210604583,-1.880618705,-0.934160416,0.235476804,3.321569311,1.90627083,-0.581355691,-2.140873823,10.00599801,-2.454964095,1.684956947,0.118263083,-1.531380112,-0.695307571,-0.152501562,-0.138866256,-0.138866256,6.99,1,0
102572,-28.70922925,22.05772899,-27.85581113,11.84501291,-18.98381258,6.474114627,-43.55724157,-41.04426092,-13.32015469,-24.58826244,3.481951803,-9.128341286,-3.008255478,0.796579962,-2.102298521,-5.660366441,-13.03278496,-5.392349174,-0.901040818,11.05900429,-22.79760391,8.316275439,5.466229954,0.02385423,-1.527144723,-0.145225187,-5.68233824,-0.439133675,-0.439133675,0.01,1,0
102114,-28.25505289,21.46720299,-26.87133878,11.73743614,-17.99963029,6.065901352,-41.50679608,-38.98726274,-13.43406632,-24.40318497,3.40932262,-9.608267356,-3.076317968,0.240060358,-2.836676932,-6.594756992,-12.95753099,-5.61352195,-0.248828402,10.44071798,-21.45373628,8.361985192,4.909111121,0.098327945,-1.508739121,0.00871129,-5.407823639,-0.183811045,-0.183811045,0,1,0
93920,-12.38104821,8.213022153,-16.96252965,7.116090598,-9.772826359,-3.666835648,-16.14736337,2.078705953,-4.250656834,-16.74604411,7.425800963,-15.5648376,-0.42633842,-14.02953767,-1.68188923,-11.13376098,-15.83358888,-5.748532938,2.271081507,0.5377949,0.167703335,1.503413334,-0.767755382,0.371951476,-1.415639479,-0.51702216,-0.434620523,0.292721057,0.292721057,97,1,0
41505,-16.52650657,8.584971796,-18.64985319,9.505593515,-13.79381853,-2.832404299,-16.7016943,7.517343904,-8.507058637,-14.11018444,5.29923635,-10.83400648,1.671120253,-9.373858584,0.360805642,-9.899246541,-19.23629237,-8.398551995,3.101735369,-1.514923435,1.190738695,-1.127670009,-2.35857877,0.673461329,-1.413699675,-0.462762361,-2.018575249,-1.04280417,-1.04280417,364.19,1,0
94364,-15.19206401,10.43252768,-19.62951525,8.046075046,-12.83816662,-1.875858746,-21.35973828,-3.717849527,-5.969781749,-17.14151364,5.902399755,-13.58014726,-0.451406899,-8.334762587,-2.025144687,-10.19633369,-17.27098517,-7.079095779,1.517695331,1.657476184,-3.474096503,1.765445513,1.701256782,0.381586805,-1.413417487,-1.023077894,-2.634761292,-0.463930546,-0.463930546,1,1,0
142840,-3.613850455,-0.922135693,-4.749887364,3.373001328,-0.545207025,-1.171301063,-4.172314571,1.517015943,-1.775832681,-3.754053923,2.731575782,-3.489374647,1.547380089,-4.571267731,-0.517958569,-4.239086531,-9.25063451,-2.434827803,1.987386277,-0.320540973,0.786787019,0.893064859,1.034906567,0.09767108,-1.345551125,-0.788328913,1.055441975,0.099971403,0.099971403,144.8,1,0
140293,0.951025219,3.252926365,-5.03910474,4.63241098,3.01450128,-1.349570138,0.980940272,-1.819539456,-2.099048905,-1.347556715,2.68057818,-1.462945176,-0.705397068,-7.445295834,-0.561331522,3.139655659,5.665429068,3.790316212,-1.909798619,-0.381443722,1.404524058,-0.760549175,0.358292342,-1.185941564,-1.286176716,0.000365303,0.169661962,0.108275693,0.108275693,0.77,1,0
74262,-2.250534809,2.365754878,-2.955491179,0.089790598,-2.830744567,-0.844461639,-0.174061561,-0.407138138,0.174216294,-2.998926256,2.605168575,-3.677716614,-0.961254636,-4.629480997,1.942181613,-4.180378884,-4.605686468,-2.557184137,1.589582202,-0.486537142,0.256559618,-0.466245243,0.291104927,0.242566553,-1.279093712,-1.123534337,-0.630976513,0.326839204,0.326839204,311.28,1,0
92102,-1.66293711,3.253892424,-7.040484712,2.26645648,-4.177648913,-0.746924828,-0.248336733,1.091156516,-0.307137451,-5.567947051,2.712739404,-5.948403127,2.144726055,-4.211755924,-0.137195539,-2.63940914,-2.532355406,-0.667067027,0.626059293,-0.842178337,0.450381285,0.52116153,0.308325446,-0.318011841,-1.25536157,-0.691963404,0.264878381,-0.130444804,-0.130444804,600.73,1,0
129186,0.290155158,0.049243132,-0.740523666,2.86546277,1.395293916,-0.535163279,0.14254337,-0.222769707,-1.463690652,1.713537553,-1.127573492,-0.708657346,0.272186077,0.274710292,0.235191952,-0.463552709,0.472995391,-0.447899156,1.790924147,0.247579535,0.337348848,1.018190578,0.303550011,0.83388612,-1.222306097,2.745260672,-0.2204016,0.16823274,0.16823274,7.18,1,0
100223,-19.64185673,14.70633467,-22.80123769,12.11467184,-14.89811253,0.840777704,-28.01129291,-11.91963882,-8.9609217,-18.91324333,4.971248707,-12.68630752,-1.071443113,-7.38337004,-2.992430299,-8.58230865,-13.80656813,-6.000358798,1.422631613,3.834649048,-8.228874098,3.31817777,2.585212346,0.195008569,-1.19480304,0.03842294,-4.126746252,-0.645329219,-0.645329219,2.28,1,0
148476,-1.12509161,3.682876144,-6.556167949,4.016730951,-0.425570578,-2.03120987,-2.650137222,1.131249354,-2.946889539,-4.8164008,2.155796085,-6.285124952,-1.125625388,-6.800098088,0.924933779,-5.239604388,-5.017907869,-1.349308859,2.868602895,0.452241311,1.185579782,1.348156129,-0.053685573,0.284121985,-1.174469182,-0.087832215,0.718789578,0.676215949,0.676215949,0.76,1,0
37167,-7.923890701,-5.198360199,-3.000023922,4.420666202,2.272193965,-3.394483429,-5.283435335,0.131618922,0.658176429,-0.794993882,3.266066016,-2.719184951,-0.124103963,-5.274865819,0.638575003,-2.995830378,-4.698433449,-1.711871225,3.025260992,-2.169810892,-0.734307917,-0.59992626,-4.908301176,0.410170235,-1.16766025,0.520507647,1.937421403,-1.552592839,-1.552592839,12.31,1,0
64785,-8.744414644,-3.420467984,-4.850574732,6.606845786,-2.800546172,0.105511584,-3.269801299,0.940377923,-2.558690602,-3.624774714,5.267861604,-5.583696926,0.173895592,-6.679976755,2.084199143,-4.348891446,-8.760786023,-3.407548544,1.332930065,-1.818315425,0.102912554,0.311626102,-4.1291955,0.034638732,-1.133631231,0.272265246,1.841307269,-1.796362587,-1.796362587,720.38,1,0
158638,-5.976119323,-7.196979631,-5.388315911,5.104798647,4.676532867,-5.56687006,-4.291180422,0.87653056,-1.075478087,-3.272569174,1.168215943,-2.134731971,1.12831322,-4.56600986,-0.126950407,-2.826985512,-2.865749701,-0.912934238,0.421144083,3.136338132,1.459369058,-0.136261687,0.848177174,-0.26991638,-1.095059604,-0.710905242,0.565846302,-1.034107187,-1.034107187,296,1,0
97235,-17.53759168,12.35251867,-20.13461281,11.12277143,-14.57108014,-0.381622313,-23.92866103,-4.724921033,-8.603038097,-15.23183337,4.41705461,-12.89352021,-0.109628456,-3.547229894,-2.177823998,-10.40206833,-18.37201912,-8.314092312,2.435823486,1.925102596,-4.352213131,2.389040921,2.019127926,0.62719187,-1.085997212,-0.071803236,-3.838197904,-0.802564461,-0.802564461,9.82,1,0
77627,-7.139060068,2.773081604,-6.757845069,4.446455974,-5.464428185,-1.713401451,-6.485365409,3.409394799,-3.053492714,-6.260705515,2.394167666,-6.16353738,0.602850521,-5.606346429,0.206621734,-6.52508104,-11.40836754,-4.693977736,2.431274492,-0.616949301,1.303250309,-0.016118152,-0.876669888,0.382229801,-1.054623888,-0.614606037,-0.766848112,0.409423944,0.409423944,106.9,1,0
8169,0.857321004,4.093911827,-7.423893589,7.380244518,0.973366023,-2.730761517,-1.496497056,0.543015173,-2.351190159,-3.944238498,6.355077737,-7.309747984,0.748450551,-9.057992529,-0.648944909,-1.073116527,1.524500915,1.831363533,-0.089724411,0.48330265,0.375026285,0.145399853,0.240603265,-0.234649223,-1.004880947,0.435831916,0.618323805,0.148468944,0.148468944,1,1,0
129095,-1.836939805,-1.646764054,-3.381168242,0.473353567,0.074242868,-0.446750698,3.791906549,-1.351045167,0.095185963,-0.084499559,-1.542304868,-0.540534807,-0.272079039,0.712541143,0.234979845,-0.907666066,-0.391051375,-0.034719159,1.084286467,-1.586143697,0.010663477,1.786681373,-0.151178224,-0.582097764,-0.956061536,-0.334368992,0.715600326,0.370449747,0.370449747,720.8,1,0
65385,-2.923826664,1.524837164,-3.018758033,3.289291475,-5.755542374,2.218276303,-0.509995432,-3.569443569,-1.016591689,-4.320535776,1.277202265,-3.701749667,-0.971869594,-4.857776672,0.090605522,-2.80150199,-4.186807537,-1.648406094,1.176445598,-0.447039407,-0.511656805,-0.122724086,-4.288638999,0.563796658,-0.94945135,-0.204532177,1.510206487,-0.324706013,-0.324706013,1354.25,1,0
41851,-19.13973286,9.28684736,-20.1349921,7.81867331,-15.65220768,-1.668347707,-21.3404781,0.641899701,-8.550110327,-16.64962816,4.818152447,-9.445314783,1.317056293,-7.243460974,0.830910291,-9.53325705,-18.75064115,-8.092648773,3.326758275,0.427203431,-2.182691946,0.520543072,-0.760556415,0.662766638,-0.948454306,0.121795926,-3.381842929,-1.256523621,-1.256523621,139.9,1,0
11635,0.919136507,4.199632669,-7.535606594,7.426940375,1.11821533,-2.886722351,-1.341035996,0.363933268,-2.203224431,-4.137840196,4.570112808,-7.629169589,1.733917464,-9.440374995,-0.02335335,-1.233958282,1.632008858,1.315734564,-0.287188855,0.535434663,0.316093599,0.055179227,0.21069215,-0.417917881,-0.911188276,0.466523925,0.62739327,0.157851283,0.157851283,1,1,0
139816,-0.395582181,-0.751792063,-1.984665722,-0.203459371,1.903967176,-1.430288633,-0.076547897,-0.992260382,0.756307219,0.217630454,0.253931337,-0.075707112,-2.215525359,1.065262428,-0.775503008,-0.911031402,-0.223768269,0.768369834,0.477521452,-1.027715896,1.377515322,2.151787056,0.189224817,0.772943278,-0.87244319,-0.20061155,0.356855912,0.032113482,0.032113482,0.69,1,0
96135,-1.952932626,3.541385243,-1.310561408,5.955663594,-1.003992663,0.983049268,-4.587234602,-4.892183603,-2.516752033,-2.850323902,2.024674081,-6.487746413,2.3764626,-2.241516346,-0.566869735,-3.936856918,-6.127193572,-2.328551961,1.562129552,1.965029783,-1.998091228,1.133706234,-0.041460872,-0.215378738,-0.865598577,0.212544577,0.532896738,0.357891633,0.357891633,18.96,1,0
88672,-3.859880787,2.632881312,-5.26426531,3.446113147,-0.675231057,-1.904959454,-3.291040869,-0.985766041,-1.168114167,-3.93629417,4.256564487,-6.600654481,0.005626376,-9.958530919,2.471357904,-5.70014142,-6.388092738,-1.838159301,2.993173507,-0.178626358,1.664119015,0.785075272,0.068412486,0.778960916,-0.86316592,-0.006809614,-1.06573404,1.773326446,1.773326446,1.18,1,0
151916,-5.488032171,3.329560681,-5.996296087,3.601719636,-2.023926036,-1.737393477,-4.39685932,0.228394068,-1.675883923,-3.991784632,3.737037681,-6.15018667,0.288738071,-8.760694519,2.344651195,-5.145637851,-6.293478628,-2.137186601,2.995244755,-0.551121115,1.71963126,0.34320916,0.133583642,0.833339534,-0.839775663,0.502009639,-1.937472846,1.521218373,1.521218373,0.01,1,0
148074,-2.219218602,0.727831411,-5.458229947,5.924849847,3.932463824,-3.085984237,-1.677869988,0.86507461,-3.177260289,-3.419207384,3.693173942,-3.978439755,-1.718590875,-8.636297394,-0.242964821,1.174884173,2.134606357,2.594364833,-1.25758898,0.964771804,0.417471746,-0.817343384,-0.028752402,0.025722511,-0.825835343,-0.01308903,0.413291189,-0.131387346,-0.131387346,0,1,0
93834,-3.765680122,5.890735238,-10.20226763,10.25903598,-5.611448417,-3.235375579,-10.63268348,3.272716326,-5.268905243,-11.18212545,8.879475668,-18.43113103,-0.232822028,-15.0216573,0.141186253,-12.1863625,-20.16556738,-7.051651353,2.500827208,1.194137321,2.245605934,0.546320675,0.381853428,0.382024544,-0.821036495,0.39435512,1.412960993,0.782407054,0.782407054,0.01,1,0
93856,-6.750508516,5.367416051,-10.05463495,9.064477918,-7.968118084,-2.263798414,-10.31756618,4.237665731,-5.324108806,-11.09239237,7.154082842,-17.15040525,-0.095399228,-11.03011036,-1.959054555,-12.44856234,-22.66790541,-9.264608733,1.982356317,-0.081219892,1.909032018,-0.348739731,0.425000563,0.67490867,-0.784208393,-0.247422103,1.159581374,0.197817875,0.197817875,209.65,1,0
102542,-1.456876318,3.740305561,-7.404518446,7.440964036,-1.549877953,-1.661696862,-5.757213014,1.615011011,-2.194880726,-6.807135251,6.825793162,-10.39974912,1.83644884,-11.8728451,-3.642392598,-6.044103144,-9.750776387,-3.116372254,0.065317149,0.529557331,0.957897452,0.14533948,-0.044703901,-0.544961671,-0.757756536,-0.005352369,0.318152286,-0.323553623,-0.323553623,2.28,1,0
93879,-13.08651942,7.352148339,-18.25657611,10.64850545,-11.73147645,-3.659167406,-14.87365796,8.810472675,-5.418204072,-13.20257715,6.357227363,-15.53161118,0.659694875,-11.4123296,-2.447576074,-9.833743021,-18.17461743,-7.269904593,0.623796612,-1.376298409,2.761157059,-0.26616181,-0.412860725,0.519952216,-0.74390896,-0.167808225,-2.498300252,-0.711066152,-0.711066152,30.31,1,0
93879,-13.08651942,7.352148339,-18.25657611,10.64850545,-11.73147645,-3.659167406,-14.87365796,8.810472675,-5.418204072,-13.20257715,6.357227363,-15.53161118,0.659694875,-11.4123296,-2.447576074,-9.833743021,-18.17461743,-7.269904593,0.623796612,-1.376298409,2.761157059,-0.26616181,-0.412860725,0.519952216,-0.74390896,-0.167808225,-2.498300252,-0.711066152,-0.711066152,30.31,1,0
169351,-0.676142671,1.126366062,-2.213699523,0.468308388,-1.120541044,-0.003346296,-2.234739296,1.210157964,-0.65224992,-3.463890879,1.794968969,-2.77502154,-0.418950144,-4.057162377,-0.712615969,-1.603014747,-5.035325917,-0.506999884,0.26627232,0.247967753,0.751825538,0.83410769,0.190943873,0.032070086,-0.739694823,0.471110963,0.385107449,0.194361479,0.194361479,77.89,1,0
94362,-26.45774465,16.4974719,-30.17731746,8.904156771,-17.89259969,-1.227903881,-31.19732855,-11.43892041,-9.462572605,-22.18708856,4.419996602,-10.59230501,-0.703795804,-3.926207316,-2.400246492,-6.80988994,-12.46231495,-5.501050784,-0.567939573,2.812241109,-8.755698321,3.460893345,0.896537504,0.254835537,-0.738096559,-0.966564234,-7.263482146,-1.324884307,-1.324884307,1,1,0
94362,-26.45774465,16.4974719,-30.17731746,8.904156771,-17.89259969,-1.227903881,-31.19732855,-11.43892041,-9.462572605,-22.18708856,4.419996602,-10.59230501,-0.703795804,-3.926207316,-2.400246492,-6.80988994,-12.46231495,-5.501050784,-0.567939573,2.812241109,-8.755698321,3.460893345,0.896537504,0.254835537,-0.738096559,-0.966564234,-7.263482146,-1.324884307,-1.324884307,1,1,0
94362,-26.45774465,16.4974719,-30.17731746,8.904156771,-17.89259969,-1.227903881,-31.19732855,-11.43892041,-9.462572605,-22.18708856,4.419996602,-10.59230501,-0.703795804,-3.926207316,-2.400246492,-6.80988994,-12.46231495,-5.501050784,-0.567939573,2.812241109,-8.755698321,3.460893345,0.896537504,0.254835537,-0.738096559,-0.966564234,-7.263482146,-1.324884307,-1.324884307,1,1,0
94362,-26.45774465,16.4974719,-30.17731746,8.904156771,-17.89259969,-1.227903881,-31.19732855,-11.43892041,-9.462572605,-22.18708856,4.419996602,-10.59230501,-0.703795804,-3.926207316,-2.400246492,-6.80988994,-12.46231495,-5.501050784,-0.567939573,2.812241109,-8.755698321,3.460893345,0.896537504,0.254835537,-0.738096559,-0.966564234,-7.263482146,-1.324884307,-1.324884307,1,1,0
142961,0.457845399,1.373769481,-0.488926009,2.805350941,1.77738606,0.10049206,1.29501592,-0.135857218,-1.695822456,0.955004467,-1.702228401,-0.240056328,0.456475053,0.139567417,-1.890974493,0.372379299,-0.798201085,-0.697061608,-1.497152233,-0.264704752,0.105593016,0.371014424,0.051104717,0.401524197,-0.724765817,-0.202880696,0.092123881,0.094955854,0.094955854,0,1,0
95628,-17.51890913,12.57211785,-19.03853832,11.19089466,-13.55472071,-0.411923613,-23.18939651,-5.301412218,-8.630390306,-16.25561175,5.70211148,-13.81240409,-0.306815323,-7.013607372,-1.182290354,-9.360179193,-16.66836938,-7.147467777,2.162098646,2.52851233,-4.969477722,0.976124822,1.841247934,0.334417748,-0.720128461,-0.232603423,-3.021992473,-0.478158235,-0.478158235,1.63,1,0
41147,-5.314173206,4.145943611,-8.532522459,8.344391674,-5.718008208,-3.043536081,-10.98918467,3.404128656,-6.167233642,-11.435624,7.674533834,-14.29609143,0.526938924,-15.44502581,0.991651201,-12.391346,-22.54165173,-7.986720653,2.992554463,1.150017319,2.331465808,0.862996306,-0.614453238,0.523647877,-0.712593272,0.324637965,2.245091466,0.497320849,0.497320849,88.23,1,0
62341,-5.267759743,2.506718959,-5.290924818,4.886134198,-3.343188411,-1.100085485,-5.810509186,1.726343355,-0.74927716,-4.834827995,3.54601225,-7.751285478,-1.195693945,-10.01850245,0.296396122,-7.477161727,-9.785800262,-4.243977148,2.681126782,-0.28604327,0.764265625,0.473261684,0.548481723,-0.156850052,-0.710186945,-0.366422677,-1.48676592,0.677664105,0.677664105,1.1,1,0
148479,-1.541678492,3.846799676,-7.604114173,3.121458585,-1.254924173,-2.084875078,-2.385026925,1.471139823,-2.53050725,-5.17565968,1.927185749,-6.011154692,-1.195601442,-6.745561316,-0.058091081,-4.325132247,-5.558067275,-1.58053122,0.971906322,0.114760088,1.096404666,1.064222165,0.065370332,0.257209438,-0.693653969,-0.335701712,0.57705152,0.398348368,0.398348368,122.68,1,0
12597,-2.589617198,7.016714385,-13.70540729,10.34322806,-2.954461035,-3.055115785,-9.301288615,3.349573361,-5.654212026,-11.85386697,11.66920474,-17.22866224,0.055571566,-18.49377336,-0.304172114,-10.62949739,-14.44121113,-5.105486466,1.270226271,1.488855192,1.887737726,0.333998185,0.287659041,-1.186406409,-0.69027267,0.631703772,1.93422076,0.789687172,0.789687172,1,1,0
92092,-1.108478219,3.448952572,-6.216971806,3.021051618,-0.529900932,-2.551375175,-2.001742908,1.092432374,-0.836098369,-4.095648973,2.425950716,-6.067261945,1.83243272,-3.501702516,-1.004008205,-3.501281103,-2.941876324,-1.125741062,0.373714808,-0.068598381,0.825951491,1.14416979,0.208559482,-0.295497424,-0.690232196,-0.364749076,0.22932722,0.208829892,0.208829892,18,1,0
128519,-4.599447002,2.762539943,-4.656529871,5.201403067,-2.470387712,-0.35761793,-3.767188827,0.061466444,-1.836199863,-1.470645258,2.143930633,-5.839736057,0.153011631,-6.177364566,-0.785415654,-4.510522737,-10.34051286,-4.181177553,-0.376135683,-1.000657722,1.581480357,0.26133272,0.621415022,0.994109927,-0.687853106,-0.337531253,-1.612791046,1.231424735,1.231424735,93.35,1,0
